Company,Total_Employees,Industry,Website,Funding_Date,Funding_Type,Extraction_Time,Page
East Oakland Youth Development Center,44,nonprofit organization management,http://www.eoydc.org,5-Dec-24,Grant,2025-04-14 03:24:41,4
Axiado Corporation,70,computer & network security,http://www.axiado.com,4-Dec-24,Series C,2025-04-14 03:24:41,4
Enterpret,39,information technology & services,http://www.enterpret.com,4-Dec-24,Series A,2025-04-14 03:24:41,4
HappyRobot,12,information technology & services,http://www.happyrobot.ai,4-Dec-24,Series A,2025-04-14 03:24:50,5
Offcall,0,hospital & health care,http://www.offcall.com,4-Dec-24,Seed,2025-04-14 03:24:50,5
Etestho,1,information technology & services,http://www.etestho.com,4-Dec-24,Pre-Seed,2025-04-14 03:24:50,5
Antheia,60,research,http://www.antheia.bio,3-Dec-24,Grant,2025-04-14 03:24:50,5
Aerospike,290,information technology & services,http://www.aerospike.com,3-Dec-24,Venture - Series Unknown,2025-04-14 03:24:50,5
Yurts Technologies Inc,56,information technology & services,http://www.yurts.ai,3-Dec-24,Series B,2025-04-14 03:24:50,5
The Tech Interactive,200,museums & institutions,http://www.thetech.org,3-Dec-24,Grant,2025-04-14 03:24:50,5
Maze Therapeutics,130,research,http://www.mazetx.com,3-Dec-24,Series D,2025-04-14 03:24:50,5
MakersHub,6,financial services,http://www.makershub.ai,3-Dec-24,Seed,2025-04-14 03:24:50,5
Vooma,14,0,http://www.vooma.com,2-Dec-24,Series A,2025-04-14 03:24:50,5
Lumin Digital,220,information technology & services,http://www.lumindigital.com,2-Dec-24,Private Equity,2025-04-14 03:24:50,5
Upwind Security,160,computer & network security,http://www.upwind.io,2-Dec-24,Series A,2025-04-14 03:24:50,5
CSpeed,16,telecommunications,http://www.cspeed.io,2-Dec-24,Undisclosed,2025-04-14 03:24:50,5
Cardless,38,0,http://www.cardless.com,26-Nov-24,Venture - Series Unknown,2025-04-14 03:24:50,5
Sirona Medical,91,information technology & services,http://www.sironamedical.com,26-Nov-24,Series C,2025-04-14 03:24:50,5
Wherobots Inc.,23,information technology & services,http://www.wherobots.com,26-Nov-24,Series A,2025-04-14 03:24:50,5
Circleback,4,information technology & services,http://www.circleback.ai,26-Nov-24,Seed,2025-04-14 03:24:50,5
Mindstate Design Labs,19,biotechnology,http://www.mindstate.design,26-Nov-24,Undisclosed,2025-04-14 03:24:50,5
Femtosense,18,semiconductors,http://www.femtosense.ai,26-Nov-24,Debt Financing,2025-04-14 03:24:50,5
Play.ht,60,0,http://www.play.ai,25-Nov-24,Seed,2025-04-14 03:24:50,5
Tempest DX,10,information technology & services,http://www.tempestdx.com,25-Nov-24,Seed,2025-04-14 03:24:58,6
Trustero,15,information technology & services,http://www.trustero.com,21-Nov-24,Series A,2025-04-14 03:24:58,6
Epic Cleantec,21,environmental services,http://www.epiccleantec.com,21-Nov-24,Series B,2025-04-14 03:24:58,6
VISO TRUST,39,computer & network security,http://www.visotrust.com,21-Nov-24,Venture - Series Unknown,2025-04-14 03:24:58,6
Aviz Networks,80,computer networking,http://www.aviznetworks.com,21-Nov-24,Series A,2025-04-14 03:24:58,6
Arcade,57,information technology & services,http://www.arcade.software,21-Nov-24,Series A,2025-04-14 03:24:58,6
Anomalo,77,information technology & services,http://www.anomalo.com,21-Nov-24,Series B,2025-04-14 03:24:58,6
Teleo,58,machinery,http://www.teleo.ai,21-Nov-24,Series A,2025-04-14 03:24:58,6
Wordware,19,0,http://www.wordware.ai,21-Nov-24,Seed,2025-04-14 03:24:58,6
Aira Technologies,25,wireless,http://www.aira-technology.com,20-Nov-24,Series B,2025-04-14 03:24:58,6
Generate Capital,320,financial services,http://www.generatecapital.com,20-Nov-24,Debt Financing,2025-04-14 03:24:58,6
Rox,27,information technology & services,http://www.rox.com,20-Nov-24,Series A,2025-04-14 03:24:58,6
Aethero,4,defense & space,http://www.aethero.com,20-Nov-24,Angel,2025-04-14 03:24:58,6
Federato,67,insurance,http://www.federato.ai,20-Nov-24,Series C,2025-04-14 03:24:58,6
Distru,47,information technology & services,http://www.distru.com,20-Nov-24,Series A,2025-04-14 03:24:58,6
THEO AI,5,legal services,http://www.theoai.ai,20-Nov-24,Pre-Seed,2025-04-14 03:24:58,6
Shinami,8,information technology & services,http://www.shinami.com,20-Nov-24,Seed,2025-04-14 03:24:59,6
PostSig,6,information technology & services,http://www.postsig.com,20-Nov-24,Pre-Seed,2025-04-14 03:24:59,6
Flywheel Dynamix,0,internet,http://www.flywl.com,20-Nov-24,Seed,2025-04-14 03:24:59,6
New Lantern,6,information technology & services,http://www.newlantern.ai,20-Nov-24,Series A,2025-04-14 03:24:59,6
Certinia,840,information technology & services,http://www.certinia.com,19-Nov-24,Private Equity,2025-04-14 03:25:06,7
Kong,660,information technology & services,http://www.konghq.com,19-Nov-24,Series E,2025-04-14 03:25:06,7
Kintsugi AI,55,0,http://www.trykintsugi.com,19-Nov-24,Series A,2025-04-14 03:25:06,7
StoreCash,8,banking,http://www.storecashapp.com,19-Nov-24,Seed,2025-04-14 03:25:06,7
Spectro Cloud,200,information technology & services,http://www.spectrocloud.com,19-Nov-24,Series C,2025-04-14 03:25:06,7
BrightAI,54,information technology & services,http://www.bright.ai,19-Nov-24,Seed,2025-04-14 03:25:06,7
Open Source Wellness,26,"health, wellness & fitness",http://www.opensourcewellness.org,19-Nov-24,Grant,2025-04-14 03:25:06,7
Neo4j,930,information technology & services,http://www.neo4j.com,19-Nov-24,Venture - Series Unknown,2025-04-14 03:25:06,7
Rain AI,78,computer hardware,http://www.rain.ai,19-Nov-24,Undisclosed,2025-04-14 03:25:06,7
JustPaid,14,0,http://www.justpaid.ai,19-Nov-24,Seed,2025-04-14 03:25:06,7
Cresta,300,information technology & services,http://www.cresta.com,19-Nov-24,Series D,2025-04-14 03:25:06,7
Enfabrica,130,computer networking,http://www.enfabrica.net,19-Nov-24,Series C,2025-04-14 03:25:06,7
ANAFLASH,20,information services,http://www.anaflash.com,19-Nov-24,Series A,2025-04-14 03:25:06,7
Open Philanthropy,160,fund-raising,http://www.openphilanthropy.org,18-Nov-24,Grant,2025-04-14 03:25:06,7
California University of Science and Medicine,280,higher education,http://www.cusm.edu,18-Nov-24,Grant,2025-04-14 03:25:06,7
Zenflow,27,medical devices,http://www.zenflow.com,18-Nov-24,Series C,2025-04-14 03:25:07,7
Radiant,150,oil & energy,http://www.radiantnuclear.com,14-Nov-24,Series C,2025-04-14 03:25:07,7
Athina AI,11,0,http://www.athina.ai,14-Nov-24,Seed,2025-04-14 03:25:07,7
Team-GPT,19,information technology & services,http://www.team-gpt.com,14-Nov-24,Seed,2025-04-14 03:25:07,7
Falkonry,39,information technology & services,http://www.falkonry.com,14-Nov-24,Undisclosed,2025-04-14 03:25:07,7
Leland,160,professional training & coaching,http://www.joinleland.com,13-Nov-24,Series A,2025-04-14 03:25:15,8
TRex Bio,53,research,http://www.trex.bio,13-Nov-24,Series B,2025-04-14 03:25:15,8
Medeloop,30,information technology & services,http://www.medeloop.ai,13-Nov-24,Series A,2025-04-14 03:25:15,8
OneSkin,40,research,http://www.oneskin.co,13-Nov-24,Series A,2025-04-14 03:25:15,8
The WiTT Group,8,hospital & health care,http://www.wittforever.com,13-Nov-24,Seed,2025-04-14 03:25:15,8
Riot,97,computer & network security,http://www.tryriot.com,13-Nov-24,Undisclosed,2025-04-14 03:25:15,8
Writer,1300,information technology & services,http://www.writer.com,12-Nov-24,Series C,2025-04-14 03:25:15,8
Trace Neuroscience,3,research,http://www.traceneuro.com,12-Nov-24,Series A,2025-04-14 03:25:15,8
Fastino,0,research,http://www.fastino.ai,12-Nov-24,Pre-Seed,2025-04-14 03:25:15,8
Shiru,28,research,http://www.shiru.com,12-Nov-24,Series B,2025-04-14 03:25:15,8
Outbuild,50,information technology & services,http://www.outbuild.com,12-Nov-24,Series A,2025-04-14 03:25:15,8
Anthrogen,4,research,http://www.anthrogen.com,12-Nov-24,Seed,2025-04-14 03:25:15,8
Connecty AI,2,0,http://www.connectyai.com,11-Nov-24,Pre-Seed,2025-04-14 03:25:15,8
AirGarage,50,information technology & services,http://www.airgarage.com,8-Nov-24,Undisclosed,2025-04-14 03:25:15,8
Fractional,32,financial services,http://www.fractional.app,7-Nov-24,Series A,2025-04-14 03:25:15,8
Orbital Sidekick,30,information services,http://www.orbitalsidekick.com,7-Nov-24,Venture - Series Unknown,2025-04-14 03:25:15,8
Corgea,4,information technology & services,http://www.corgea.com,6-Nov-24,Seed,2025-04-14 03:25:15,8
OptraScan,36,medical devices,http://www.optrascan.com,6-Nov-24,Series B,2025-04-14 03:25:15,8
Workhelix,17,0,http://www.workhelix.com,5-Nov-24,Undisclosed,2025-04-14 03:25:15,8
PrognomiQ,57,research,http://www.prognomiq.com,5-Nov-24,Series D,2025-04-14 03:25:15,8
Carvis.AI,2,0,http://www.carvis.ai,4-Nov-24,Pre-Seed,2025-04-14 03:25:24,9
Inquis Medical,39,medical devices,http://www.inquismedical.com,4-Nov-24,Series B,2025-04-14 03:25:24,9
Augment Code,77,information technology & services,http://www.augmentcode.com,4-Nov-24,Venture - Series Unknown,2025-04-14 03:25:24,9
Primergy Solar,98,semiconductors,http://www.primergysolar.com,4-Nov-24,Debt Financing,2025-04-14 03:25:24,9
Advex AI,5,information technology & services,http://www.advex.ai,4-Nov-24,Seed,2025-04-14 03:25:24,9
The Nursing Beat,33,telecommunications,http://www.thenursingbeat.com,4-Nov-24,Seed,2025-04-14 03:25:24,9
Cornerstone AI,15,hospital & health care,http://www.cornerstone.ai,31-Oct-24,Seed,2025-04-14 03:25:24,9
Spot AI,140,information technology & services,http://www.spot.ai,31-Oct-24,Series B,2025-04-14 03:25:24,9
Buddy.ai,32,e-learning,http://www.buddy.ai,31-Oct-24,Seed,2025-04-14 03:25:24,9
Evommune,51,research,http://www.evommune.com,31-Oct-24,Series C,2025-04-14 03:25:24,9
Bugcrowd,2900,computer & network security,http://www.bugcrowd.com,31-Oct-24,Debt Financing,2025-04-14 03:25:24,9
Decart,3,0,http://www.decart.ai,31-Oct-24,Seed,2025-04-14 03:25:24,9
Birch Creek Development,57,renewables & environment,http://www.birchcreekdev.com,31-Oct-24,Debt Financing,2025-04-14 03:25:24,9
Shadowbox,30,information technology & services,http://www.shadowbox.com,31-Oct-24,Series A,2025-04-14 03:25:24,9
Delos Insurance,26,insurance,http://www.getdelos.com,31-Oct-24,Series A,2025-04-14 03:25:24,9
Bifrost AI,36,information technology & services,http://www.bifrost.ai,30-Oct-24,Series A,2025-04-14 03:25:24,9
Third Wave Automation,57,information technology & services,http://www.thirdwave.ai,30-Oct-24,Series C,2025-04-14 03:25:24,9
Sapien,0,financial services,http://www.getsapien.com,29-Oct-24,Seed,2025-04-14 03:25:24,9
HomeBoost,7,consumer services,http://www.homeboost.com,29-Oct-24,Seed,2025-04-14 03:25:24,9
LifeSaver Mobile,19,online media,http://www.lifesaver-app.com,29-Oct-24,Seed,2025-04-14 03:25:24,9
CredibleMind,29,mental health care,http://www.crediblemind.com,29-Oct-24,Series A,2025-04-14 03:25:33,10
Opus Guard,4,0,http://www.opusguard.com,29-Oct-24,Pre-Seed,2025-04-14 03:25:33,10
GMI Cloud,36,information technology & services,http://www.gmicloud.ai,29-Oct-24,Debt Financing,2025-04-14 03:25:33,10
Browserbase,20,0,http://www.browserbase.com,29-Oct-24,Series A,2025-04-14 03:25:33,10
Armis Security,900,computer & network security,http://www.armis.com,28-Oct-24,Series D,2025-04-14 03:25:33,10
Kivu Bioscience,1,research,http://www.kivubioscience.com,28-Oct-24,Series A,2025-04-14 03:25:33,10
Sierra,130,information technology & services,http://www.sierra.ai,28-Oct-24,Venture - Series Unknown,2025-04-14 03:25:33,10
Fondo,77,0,http://www.tryfondo.com,28-Oct-24,Seed,2025-04-14 03:25:33,10
Abstract Security,31,computer & network security,http://www.abstract.security,28-Oct-24,Series A,2025-04-14 03:25:33,10
Revyl,5,information technology & services,http://www.revyl.ai,28-Oct-24,Pre-Seed,2025-04-14 03:25:33,10
Pharos,3,hospital & health care,http://www.pharos.health,25-Oct-24,Seed,2025-04-14 03:25:33,10
Connect The Dots,110,0,http://www.ctd.ai,24-Oct-24,Venture - Series Unknown,2025-04-14 03:25:33,10
Sociaaal,7,computer games,http://www.sociaaal.com,24-Oct-24,Debt Financing,2025-04-14 03:25:33,10
AnyLog,14,0,http://www.anylog.co,24-Oct-24,Venture - Series Unknown,2025-04-14 03:25:33,10
Concentric AI,89,information technology & services,http://www.concentric.ai,24-Oct-24,Series B,2025-04-14 03:25:33,10
PayToMe.co,2,financial services,http://www.paytome.co,24-Oct-24,Seed,2025-04-14 03:25:33,10
Finix,240,financial services,http://www.finix.com,24-Oct-24,Series C,2025-04-14 03:25:33,10
Simbe Robotics,55,retail,http://www.simberobotics.com,24-Oct-24,Series C,2025-04-14 03:25:33,10
Oloid,65,information technology & services,http://www.oloid.ai,24-Oct-24,Series A,2025-04-14 03:25:33,10
Nimble Robotics,180,0,http://www.nimble.ai,23-Oct-24,Series C,2025-04-14 03:25:33,10
Archy,35,information technology & services,http://www.archy.com,23-Oct-24,Series A,2025-04-14 03:25:41,11
Infinitus Systems,190,information technology & services,http://www.infinitus.ai,23-Oct-24,Series C,2025-04-14 03:25:41,11
Courie,8,information technology & services,http://www.courie.ai,23-Oct-24,Seed,2025-04-14 03:25:41,11
Anthro Energy,43,electrical/electronic manufacturing,http://www.anthroenergy.com,23-Oct-24,Grant,2025-04-14 03:25:41,11
LAWFTY,45,legal services,http://www.lawfty.com,23-Oct-24,Debt Financing,2025-04-14 03:25:41,11
BodySpec,43,"health, wellness & fitness",http://www.bodyspec.com,22-Oct-24,Venture - Series Unknown,2025-04-14 03:25:41,11
Nooks,160,information technology & services,http://www.nooks.ai,22-Oct-24,Series B,2025-04-14 03:25:41,11
CrewAI,10,information technology & services,http://www.crewai.com,22-Oct-24,Series A,2025-04-14 03:25:41,11
Qpoint,14,0,http://www.qpoint.io,22-Oct-24,Pre-Seed,2025-04-14 03:25:41,11
Globality,140,information technology & services,http://www.globality.com,22-Oct-24,Venture - Series Unknown,2025-04-14 03:25:41,11
Socket,34,computer & network security,http://www.socket.dev,22-Oct-24,Series B,2025-04-14 03:25:41,11
Mainspring Energy,440,0,http://www.mainspringenergy.com,22-Oct-24,Grant,2025-04-14 03:25:41,11
interface.ai,210,information technology & services,http://www.interface.ai,22-Oct-24,Series A,2025-04-14 03:25:41,11
Trellis Bioscience,18,research,http://www.trellisbio.com,22-Oct-24,Venture - Series Unknown,2025-04-14 03:25:41,11
Revelation Partners,21,venture capital & private equity,http://www.revelation-partners.com,22-Oct-24,Venture - Series Unknown,2025-04-14 03:25:41,11
Genmo,8,research,http://www.genmo.ai,22-Oct-24,Series A,2025-04-14 03:25:41,11
ItsWare,1,0,http://www.itsware.com,22-Oct-24,Seed,2025-04-14 03:25:41,11
Avenue Biosciences,11,research,http://www.avenuebiosciences.com,22-Oct-24,Seed,2025-04-14 03:25:41,11
Zip,600,information technology & services,http://www.ziphq.com,21-Oct-24,Series D,2025-04-14 03:25:41,11
HealthEx,16,hospital & health care,http://www.healthex.io,21-Oct-24,Series A,2025-04-14 03:25:41,11
Uprise,15,financial services,http://www.uprise.us,21-Oct-24,Seed,2025-04-14 03:25:49,12
Voxela,9,0,http://www.voxela.ai,21-Oct-24,Seed,2025-04-14 03:25:49,12
Kick,29,0,http://www.kick.co,17-Oct-24,Seed,2025-04-14 03:25:49,12
AN2 Therapeutics,38,research,http://www.an2therapeutics.com,17-Oct-24,Grant,2025-04-14 03:25:49,12
Terray Therapeutics,120,research,http://www.terraytx.com,17-Oct-24,Series B,2025-04-14 03:25:49,12
Abel Police,1,public safety,http://www.abelpolice.com,17-Oct-24,Seed,2025-04-14 03:25:49,12
Edgee,5,0,http://www.edgee.cloud,17-Oct-24,Pre-Seed,2025-04-14 03:25:49,12
GetSetUp,71,"health, wellness & fitness",http://www.getsetup.com,16-Oct-24,Grant,2025-04-14 03:25:49,12
Samay,130,hospital & health care,http://www.samayhealth.com,16-Oct-24,Grant,2025-04-14 03:25:49,12
Kiavi,420,financial services,http://www.kiavi.com,16-Oct-24,Debt Financing,2025-04-14 03:25:49,12
Tako,11,information technology & services,http://www.trytako.com,16-Oct-24,Seed,2025-04-14 03:25:49,12
Lightmatter,200,computer hardware,http://www.lightmatter.co,16-Oct-24,Series D,2025-04-14 03:25:49,12
Agtonomy,45,machinery,http://www.agtonomy.com,16-Oct-24,Series A,2025-04-14 03:25:50,12
"PyrAmes, Inc.",13,medical devices,http://www.pyrameshealth.com,15-Oct-24,Grant,2025-04-14 03:25:50,12
Alchemy,14,0,http://www.alchemyhealth.com,15-Oct-24,Seed,2025-04-14 03:25:50,12
MDisrupt,49,hospital & health care,http://www.mdisrupt.com,15-Oct-24,Venture - Series Unknown,2025-04-14 03:25:50,12
Galileo,73,information technology & services,http://www.galileo.ai,15-Oct-24,Series B,2025-04-14 03:25:50,12
Azra Games,81,computer games,http://www.azragames.com,15-Oct-24,Series A,2025-04-14 03:25:50,12
Chargie,57,automotive,http://www.chargie.com,15-Oct-24,Grant,2025-04-14 03:25:50,12
Decagon,27,information technology & services,http://www.decagon.ai,15-Oct-24,Series B,2025-04-14 03:25:50,12
Concourse,0,information technology & services,http://www.concourse.co,15-Oct-24,Seed,2025-04-14 03:25:57,13
Stockguard,9,insurance,http://www.stockguard.io,15-Oct-24,Venture - Series Unknown,2025-04-14 03:25:57,13
Neuron7.ai,60,information technology & services,http://www.neuron7.ai,15-Oct-24,Series B,2025-04-14 03:25:57,13
Parakeet Health,10,information technology & services,http://www.parakeethealth.com,15-Oct-24,Seed,2025-04-14 03:25:57,13
Dryvebox,37,sports,http://www.dryvebox.com,14-Oct-24,Seed,2025-04-14 03:25:57,13
Blockcast,3,telecommunications,http://www.blockcast.net,14-Oct-24,Seed,2025-04-14 03:25:57,13
Cavecrack,3,information technology & services,http://www.cavecrack.com,13-Oct-24,Pre-Seed,2025-04-14 03:25:57,13
Cerebelly,32,food & beverages,http://www.cerebelly.com,10-Oct-24,Venture - Series Unknown,2025-04-14 03:25:57,13
Suki,230,information technology & services,http://www.suki.ai,10-Oct-24,Series D,2025-04-14 03:25:57,13
CytoVale,130,research,http://www.cytovale.com,10-Oct-24,Series D,2025-04-14 03:25:58,13
Zeal,43,information technology & services,http://www.zeal.com,10-Oct-24,Series B,2025-04-14 03:25:58,13
Vidoc Security Lab,7,information technology & services,http://www.vidocsecurity.com,10-Oct-24,Seed,2025-04-14 03:25:58,13
Relyance AI,64,information technology & services,http://www.relyance.ai,10-Oct-24,Series B,2025-04-14 03:25:58,13
Numeric,37,information technology & services,http://www.numeric.io,10-Oct-24,Series A,2025-04-14 03:25:58,13
COVU,51,insurance,http://www.covu.com,10-Oct-24,Series A,2025-04-14 03:25:58,13
ApertureData,10,information technology & services,http://www.aperturedata.io,10-Oct-24,Seed,2025-04-14 03:25:58,13
MiLaboratories,17,research,http://www.milaboratories.com,10-Oct-24,Series A,2025-04-14 03:25:58,13
Glooko,250,information technology & services,http://www.glooko.com,10-Oct-24,Series F,2025-04-14 03:25:58,13
IncumbentFI,4,financial services,http://www.incumbentfi.com,10-Oct-24,Venture - Series Unknown,2025-04-14 03:25:58,13
Prophecy.io,140,information technology & services,http://www.prophecy.io,10-Oct-24,Venture - Series Unknown,2025-04-14 03:25:58,13
