name,description,logo_url,website_url,scraped_at,tags,hq_location,employee_count,founded_year,investors,funding_details,valuation
Safe Superintelligence,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
1-10 employees Founded: 2024","https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/b6ff26f22c0d4c5c8fec0811038f3e62",https://ssi.inc/?utm_source=topstartups.io,2025-03-28 07:05:31,"Artificial Intelligence, 1-10 employees, Founded: 2024, Sequoia, Andreessen Horowitz","San Francisco Bay Area, California, USA",1-10 employees,20,"Artificial Intelligence, 1-10 employees, Founded: 2024, Sequoia, Andreessen Horowitz, Andreessen, Horowitz","$1B Series A, Series A, $1B",
Cresta,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
201-500 employees Founded: 2017",https://images.crunchbase.com/image/upload/ooblsjdblhfi601ujl7r,http://cresta.com/?utm_source=topstartups.io,2025-03-28 07:05:32,"Artificial Intelligence, Sales, Enterprise Software, 201-500 employees, Founded: 2017, Sequoia, Andreessen Horowitz","San Francisco Bay Area, California, USA",201-500 employees,20,"Artificial Intelligence, Sales, Enterprise Software, 201-500 employees, Founded: 2017, Sequoia, Andreessen Horowitz, Andreessen, Horowitz","$125M Series D, Series D, $125M",
Harmonic,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2023","https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/14620131a02b438192d571be5e2492f4",https://harmonic.fun/index/?utm_source=topstartups.io,2025-03-28 07:05:33,"Artificial Intelligence, 11-50 employees, Founded: 2023, Sequoia","San Francisco Bay Area, California, USA",11-50 employees,20,"Artificial Intelligence, 11-50 employees, Founded: 2023, Sequoia","$75M Series A, Series A, $75M",
Nooks,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
51-100 employees Founded: 2020","https://images.crunchbase.com/image/upload/c_pad,h_120,w_120,f_auto,b_white,q_auto:eco,dpr_1/jbymoqcyqscp8fgvud6b",https://www.nooks.ai/?utm_source=topstartups.io,2025-03-28 07:05:34,"Artificial Intelligence, Sales, 51-100 employees, Founded: 2020, Kleiner Perkins","San Francisco Bay Area, California, USA",51-100 employees,20,"Artificial Intelligence, Sales, 51-100 employees, Founded: 2020, Kleiner Perkins, Kleiner","$43M Series B, Series B, $43M",
Get newly funded startups delivered to you weekly,,,,2025-03-28 07:05:35,,,,,,,
Numeric,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2021",https://res.cloudinary.com/die3a7qhl/image/upload/v1729032535/numeric_ekspis.png,https://www.numeric.io/?utm_source=topstartups.io,2025-03-28 07:05:36,"Enterprise Software, FinTech, Accounting, 11-50 employees, Founded: 2021, Founders Fund, Menlo VC, IVP","San Francisco Bay Area, California, USA",11-50 employees,20,"Enterprise Software, FinTech, Accounting, 11-50 employees, Founded: 2021, Founders Fund, Menlo VC, IVP","$28M Series A, Series A, $28M",
Speak,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2016","https://images.crunchbase.com/image/upload/c_pad,h_120,w_120,f_auto,b_white,q_auto:eco,dpr_1/bc745592fc9144b09df643a736c5818a",https://www.speak.com/?utm_source=topstartups.io,2025-03-28 07:05:37,"SaaS, Consumer, Artificial Intelligence, 11-50 employees, Founded: 2016, Accel","San Francisco Bay Area, California, USA",11-50 employees,20,"SaaS, Consumer, Artificial Intelligence, 11-50 employees, Founded: 2016, Accel","$78M Series C, Series C, $78M, $1.0B",$1.0B valuation
Harvey,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
201-500 employees Founded: 2021","https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/whp7nzng2urnf2voeikd",https://www.harvey.ai/?utm_source=topstartups.io,2025-03-28 07:05:38,"Artificial Intelligence, Legal, 201-500 employees, Founded: 2021, Sequoia, Kleiner Perkins","San Francisco Bay Area, California, USA",201-500 employees,20,"Artificial Intelligence, Legal, 201-500 employees, Founded: 2021, Sequoia, Kleiner Perkins, Kleiner","$300M Series D, Series D, $300M, $3.0B",$3.0B valuation
Kong,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
201-500 employees Founded: 2017",https://img-cdn.tnwcdn.com/image?url=https%3A%2F%2Fpbs.twimg.com%2Fprofile_images%2F1412956907929620486%2FGkFcFJFf.jpg&signature=dbf80f029dc186893f337bf93a145d0b,https://konghq.com/?utm_source=topstartups.io,2025-03-28 07:05:39,"Enterprise Software, SaaS, 201-500 employees, Founded: 2017, Andreessen Horowitz","San Francisco Bay Area, California, USA",201-500 employees,20,"Enterprise Software, SaaS, 201-500 employees, Founded: 2017, Andreessen Horowitz, Andreessen, Horowitz","$175M Series E, Series E, $175M, $2.0B",$2.0B valuation
Infinitus,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
101-200 employees Founded: 2019","https://images.crunchbase.com/image/upload/c_pad,h_120,w_120,f_auto,b_white,q_auto:eco,dpr_1/dn00i7alw6rc3xla89km",https://www.infinitus.ai/?utm_source=topstartups.io,2025-03-28 07:05:40,"Health, Artificial Intelligence, 101-200 employees, Founded: 2019, Andreessen Horowitz, Kleiner Perkins","San Francisco Bay Area, California, USA",101-200 employees,20,"Health, Artificial Intelligence, 101-200 employees, Founded: 2019, Andreessen Horowitz, Kleiner Perkins, Andreessen, Horowitz, Kleiner","$51M Series C, Series C, $51M",
