name,description,logo_url,website_url,scraped_at,tags,hq_location,employee_count,founded_year,investors,funding_details,valuation
HQ:,"HQ:
Industry:
AI/Machine Learning
Analytics
Biotech
Collaboration
Consumer
Crypto/Blockchain
Cybersecurity
Data Science
E-Commerce
EdTech
Enterprise Software
FinTech
Gaming
Hardware
Healthcare
Marketplaces
Media
Retail
SaaS
Sales/Marketing
Space
Sustainability
Any industry",,,2025-03-28 03:54:12,,,1-10 employees,,,"Series A, Series B, Series C, Series D, Series E, Series F, Series G, Series H, Series I",
Numeric,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2021",https://res.cloudinary.com/die3a7qhl/image/upload/v1729032535/numeric_ekspis.png,https://www.numeric.io/?utm_source=topstartups.io,2025-03-28 03:54:12,"IVP, Enterprise Software, Founders Fund, Menlo VC, FinTech, Accounting",,11-50 employees,2021,,$28M Series A in 2024,
Render,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
51-100 employees Founded: 2018",https://res.cloudinary.com/die3a7qhl/image/upload/v1739239915/render-logo_m6kuwe.svg,https://www.render.com/?utm_source=topstartups.io,2025-03-28 03:54:12,"Bessemer, Enterprise Software, Developer Tools, SaaS, General Catalyst",,51-100 employees,2018,,$80M Series C in 2025,
Harvey,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
201-500 employees Founded: 2021","https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/whp7nzng2urnf2voeikd",https://www.harvey.ai/?utm_source=topstartups.io,2025-03-28 03:54:13,"Sequoia, Artificial Intelligence, Legal, Kleiner Perkins",,201-500 employees,2021,,$300M Series D in 2025,$3.0B valuation
Semgrep,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
201-500 employees Founded: 2017","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/z9okitrtwykeceivfrsh",https://semgrep.dev/?utm_source=topstartups.io,2025-03-28 03:54:13,"Sequoia, SaaS, Cybersecurity",,201-500 employees,2017,,$100M Series D in 2025,
HighTouch.io,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2018","https://images.crunchbase.com/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco,dpr_1/uhsr0uetxgjuq84ksent",http://www.hightouch.io/?utm_source=topstartups.io,2025-03-28 03:54:13,"Sales, Enterprise Software, Y Combinator, SaaS, Marketing",,11-50 employees,2018,,$80M Series C in 2025,$1.2B valuation
Qventus,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
101-200 employees Founded: 2012","https://images.crunchbase.com/image/upload/c_lpad,f_auto,q_auto:eco,dpr_1/v1504537466/sx7fkolgm56fkhqupehd.png",http://www.qventus.com/?utm_source=topstartups.io,2025-03-28 03:54:13,"Y Combinator, Predictive Analytics, Bessemer, Healthcare",,101-200 employees,2012,,$85M Series D in 2025,
Speak,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2016","https://images.crunchbase.com/image/upload/c_pad,h_120,w_120,f_auto,b_white,q_auto:eco,dpr_1/bc745592fc9144b09df643a736c5818a",https://www.speak.com/?utm_source=topstartups.io,2025-03-28 03:54:13,"Accel, SaaS, Artificial Intelligence, Consumer",,11-50 employees,2016,,$78M Series C in 2024,$1.0B valuation
Databricks,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
5000+ employees Founded: 2013","https://images.crunchbase.com/image/upload/c_lpad,f_auto,q_auto:eco,dpr_1/w4fk7lg95vmrsqt6gire",http://databricks.com/?utm_source=topstartups.io,2025-03-28 03:54:14,"Andreessen Horowitz, Analytics, SaaS, Artificial Intelligence, Data Science",,5000+ employees,2013,,$10B Series J in 2024,$62.0B valuation
Kong,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
201-500 employees Founded: 2017",https://img-cdn.tnwcdn.com/image?url=https%3A%2F%2Fpbs.twimg.com%2Fprofile_images%2F1412956907929620486%2FGkFcFJFf.jpg&signature=dbf80f029dc186893f337bf93a145d0b,https://konghq.com/?utm_source=topstartups.io,2025-03-28 03:54:14,"Andreessen Horowitz, SaaS, Enterprise Software",,201-500 employees,2017,,$175M Series E in 2024,$2.0B valuation
